|81.090600,0.000000,-274.038000|0.000000,1.000000,0.000000,0.000000|1.000000,1.000000,1.000000
Armature|0.000000,0.000000,0.000000|-0.707107,0.000000,0.000000,0.707107|1.000000,1.000000,1.000000
Armature/Hips|-0.003151,-0.060818,0.905686|0.587168,-0.013830,0.002540,0.809343|1.000000,1.000000,1.000000
Armature/Hips/LeftUpLeg|-0.104870,-0.087289,-0.023429|0.978690,-0.092263,0.145750,0.111407|1.000000,0.999999,1.000000
Armature/Hips/LeftUpLeg/LeftLeg|0.000000,0.372779,0.000000|0.582612,-0.097755,-0.000445,0.806850|0.999999,1.000000,1.000000
Armature/Hips/LeftUpLeg/LeftLeg/LeftFoot|0.000000,0.323549,0.000000|-0.408164,0.052255,-0.015421,0.911281|1.000000,1.000000,1.000000
Armature/Hips/LeftUpLeg/LeftLeg/LeftFoot/LeftToeBase|0.000000,0.148431,0.000000|-0.364671,0.000606,0.024620,0.930811|0.999999,1.000000,1.000000
Armature/Hips/RightUpLeg|0.103458,-0.090797,-0.018674|0.992995,0.022015,-0.115670,0.009865|0.999999,0.999999,0.999997
Armature/Hips/RightUpLeg/RightLeg|0.000000,0.364517,0.000000|0.348129,0.079006,-0.021425,0.933866|1.000000,1.000000,1.000000
Armature/Hips/RightUpLeg/RightLeg/RightFoot|0.000000,0.335138,0.000000|-0.500657,-0.072499,-0.011135,0.862533|1.000000,0.999999,0.999999
Armature/Hips/RightUpLeg/RightLeg/RightFoot/RightToeBase|0.000000,0.151990,0.000000|-0.344870,-0.009855,-0.031981,0.938054|1.000000,1.000000,1.000000
Armature/Hips/Spine02|0.001412,0.116875,0.042104|0.197404,-0.001826,-0.012655,0.980239|1.000000,1.000000,0.999999
Armature/Hips/Spine02/Spine01|0.000000,0.124235,0.000000|0.017664,0.021813,-0.008506,0.999570|0.999998,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine|0.000000,0.124234,0.000000|0.011663,0.020841,0.009525,0.999669|1.000000,0.999999,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder|-0.041823,0.040981,0.004445|0.635137,-0.404585,0.477428,0.452741|1.000001,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm|0.000000,0.171016,0.000000|0.243520,-0.614420,-0.351257,0.663178|1.000000,1.000000,0.999999
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm|0.000000,0.250313,0.000000|0.028309,-0.007216,-0.014590,0.999467|0.999999,0.999999,0.999999
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand|0.000000,0.232332,0.000000|0.002671,-0.139876,-0.302944,0.942684|1.000000,1.000000,1.000001
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftIndexProximal|-0.014000,0.132000,-0.032000|0.137542,0.988725,0.058646,-0.008158|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftIndexProximal/LeftIndexIntermediate|0.000000,0.043966,0.000000|0.010490,-0.003337,0.031526,0.999442|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftIndexProximal/LeftIndexIntermediate/LeftIndexDistal|0.000000,0.033030,0.000000|-0.067309,0.013147,-0.145742,0.986943|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftLittleProximal|0.011000,0.114000,0.072000|-0.012796,0.999590,0.025614,0.000328|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftLittleProximal/LeftLittleIntermediate|0.000000,0.039064,0.000000|0.025563,-0.001626,0.088978,0.995704|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftLittleProximal/LeftLittleIntermediate/LeftLittleDistal|0.000000,0.026306,0.000000|0.030907,-0.004304,-0.014260,0.999411|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftMiddleProximal|-0.017000,0.132000,0.010000|-0.030538,0.999326,0.020386,0.000623|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftMiddleProximal/LeftMiddleIntermediate|0.000000,0.049132,0.000000|-0.084056,0.012947,0.211530,0.973664|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftMiddleProximal/LeftMiddleIntermediate/LeftMiddleDistal|0.000000,0.030676,0.000000|0.075353,-0.024293,-0.054687,0.995360|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftRingProximal|-0.012000,0.122000,0.044000|-0.021565,0.998302,0.054096,0.001169|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftRingProximal/LeftRingIntermediate|0.000000,0.046314,0.000000|0.037660,-0.005090,0.176485,0.983570|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftRingProximal/LeftRingIntermediate/LeftRingDistal|0.000000,0.032588,0.000000|-0.009827,0.002610,-0.052310,0.998579|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftThumbProximal|0.031000,0.069000,-0.017000|-0.021455,0.706781,-0.211230,0.674820|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftThumbProximal/LeftThumbIntermediate|0.000000,0.054955,0.000000|-0.096385,-0.017502,0.152725,0.983402|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/LeftShoulder/LeftArm/LeftForeArm/LeftHand/LeftThumbProximal/LeftThumbIntermediate/LeftThumbDistal|0.000000,0.039128,0.000000|-0.057571,-0.000736,0.012758,0.998260|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder|0.041626,0.045398,0.002677|0.664189,0.482918,-0.444889,0.357375|1.000000,0.999999,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm|0.000000,0.162559,0.000000|0.345277,0.013757,0.190984,0.918760|0.999999,0.999999,0.999999
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm|0.000000,0.249940,0.000000|-0.011928,-0.477834,0.097437,0.872948|1.000000,1.000000,0.999999
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand|0.000000,0.224346,0.000000|-0.022811,0.121913,0.004162,0.992270|1.000000,0.999999,1.000000
