AssetType,Pack,Category,SuggestedUse,FileName,AssetPath,ThumbnailPath,RendererCount,Bounds,Notes
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Office Chair Variant.prefab","Assets/ScifiOfficeLite/Prefabs/Chairs and Stools/Office Chair Variant.prefab","thumbnails/objects/0001_prefab_Office_Chair_Variant_3230cf56.png","1","0.99 x 1.52 x 1","원본 머티리얼 1개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Office Chair.prefab","Assets/ScifiOfficeLite/Prefabs/Chairs and Stools/Office Chair.prefab","thumbnails/objects/0002_prefab_Office_Chair_bec08259.png","1","0.99 x 1.52 x 1","원본 머티리얼 1개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Stool.prefab","Assets/ScifiOfficeLite/Prefabs/Chairs and Stools/Stool.prefab","thumbnails/objects/0003_prefab_Stool_c72d2193.png","1","0.37 x 0.97 x 0.37","원본 머티리얼 1개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Drawer 2 Oak Variant.prefab","Assets/ScifiOfficeLite/Prefabs/Drawers/Drawer 2 Oak Variant.prefab","thumbnails/objects/0004_prefab_Drawer_2_Oak_Variant_af802d80.png","5","0.7 x 0.95 x 0.9","원본 머티리얼 6개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Drawer 2.prefab","Assets/ScifiOfficeLite/Prefabs/Drawers/Drawer 2.prefab","thumbnails/objects/0005_prefab_Drawer_2_aaaf4568.png","5","0.7 x 0.95 x 0.9","원본 머티리얼 6개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Vase.prefab","Assets/ScifiOfficeLite/Prefabs/Drawers/Vase.prefab","thumbnails/objects/0006_prefab_Vase_c73d3352.png","1","0.42 x 1.05 x 0.42",""
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Shelf with Crates.prefab","Assets/ScifiOfficeLite/Prefabs/Shelf with Crates.prefab","thumbnails/objects/0007_prefab_Shelf_with_Crates_a9bed1fc.png","7","0.97 x 2.29 x 2.78","원본 머티리얼 7개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Shelf without Crates.prefab","Assets/ScifiOfficeLite/Prefabs/Shelf without Crates.prefab","thumbnails/objects/0008_prefab_Shelf_without_Crates_523a55b8.png","1","0.97 x 2.29 x 2.78","원본 머티리얼 1개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Drawer Table Long Blue Plastic Variant.prefab","Assets/ScifiOfficeLite/Prefabs/Tables/Blue Plastic/Drawer Table Long Blue Plastic Variant.prefab","thumbnails/objects/0009_prefab_Drawer_Table_Long_Blue_Plastic_Variant_d25d1de7.png","6","3.11 x 1 x 0.96","원본 머티리얼 7개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
"Prefab","Free Sci-Fi Office Pack","가구·보관","비품창고, 통제실, 조종실 보조 소품","Drawer Table Long Dark Oak.prefab","Assets/ScifiOfficeLite/Prefabs/Tables/Dark Oak/Drawer Table Long Dark Oak.prefab","thumbnails/objects/0010_prefab_Drawer_Table_Long_Dark_Oak_2fb93fbe.png","6","3.11 x 1 x 0.96","원본 머티리얼 7개가 현재 URP 프로젝트에서 미지원입니다. 썸네일은 형태 확인용 중립 재질로 생성했습니다."
